10002110906,20.0,19.0,29.0,28.0,20.0,11.0,17.0,13.0,15.0,24.0,16.0,13.0,16.0,17.0,15.0,15.0,15.0,16.0,16.0,15.0,13.0,31.0,13.0,14.0,16.0,17.0,14.0,31.0,16.0,17.0,15.0,15.0,16.0
10009244396,29.0,16.0,6.0,19.0,14.0,17.0,16.0,16.0,13.0,20.0,16.0,14.0,14.0,17.0,17.0,13.0,14.0,16.0,12.0,15.0,15.0,21.0,13.0,20.0,18.0,13.0,16.0,33.0,18.0,8.0,13.0,18.0,14.0
10018187456,46.0,17.0,29.0,19.0,14.0,15.0,16.0,16.0,14.0,10.0,19.0,17.0,15.0,16.0,15.0,16.0,16.0,15.0,15.0,16.0,18.0,26.0,16.0,26.0,7.0,16.0,15.0,26.0,15.0,14.0,17.0,15.0,16.0
10018988015,43.0,20.0,23.0,17.0,14.0,17.0,13.0,18.0,14.0,16.0,14.0,14.0,17.0,18.0,18.0,14.0,15.0,16.0,15.0,14.0,13.0,31.0,17.0,13.0,12.0,15.0,16.0,25.0,8.0,17.0,17.0,20.0,16.0
10027248316,28.0,20.0,30.0,17.0,19.0,14.0,15.0,12.0,17.0,19.0,13.0,14.0,15.0,17.0,14.0,15.0,15.0,17.0,15.0,12.0,13.0,28.0,18.0,19.0,19.0,16.0,15.0,34.0,14.0,14.0,12.0,15.0,16.0
10033993185,37.0,16.0,13.0,28.0,18.0,7.0,15.0,9.0,18.0,11.0,18.0,14.0,10.0,13.0,17.0,14.0,19.0,14.0,20.0,16.0,19.0,21.0,16.0,15.0,17.0,16.0,15.0,43.0,14.0,16.0,12.0,16.0,17.0
10037740784,14.0,17.0,27.0,18.0,22.0,15.0,16.0,12.0,16.0,15.0,14.0,17.0,17.0,16.0,15.0,13.0,18.0,13.0,15.0,16.0,14.0,28.0,16.0,18.0,20.0,19.0,15.0,30.0,14.0,14.0,12.0,13.0,16.0
100556251,26.0,24.0,15.0,21.0,22.0,15.0,15.0,16.0,18.0,22.0,14.0,14.0,15.0,15.0,15.0,13.0,17.0,16.0,14.0,12.0,15.0,28.0,17.0,14.0,16.0,17.0,16.0,30.0,17.0,14.0,15.0,17.0,15.0
10074303973,36.0,14.0,28.0,24.0,15.0,12.0,13.0,15.0,16.0,8.0,16.0,18.0,17.0,15.0,15.0,16.0,15.0,17.0,18.0,16.0,17.0,32.0,15.0,18.0,16.0,15.0,15.0,30.0,16.0,13.0,16.0,16.0,16.0
1008213420,28.0,19.0,26.0,24.0,14.0,12.0,15.0,17.0,11.0,18.0,16.0,19.0,16.0,15.0,18.0,15.0,14.0,18.0,16.0,16.0,16.0,29.0,14.0,20.0,18.0,16.0,16.0,33.0,16.0,12.0,13.0,16.0,15.0
10086326815,28.0,13.0,29.0,7.0,13.0,17.0,14.0,14.0,15.0,11.0,18.0,15.0,10.0,14.0,16.0,14.0,15.0,16.0,16.0,15.0,14.0,41.0,16.0,26.0,14.0,16.0,18.0,25.0,15.0,8.0,17.0,15.0,14.0
